"","country","ISO3","continent","subcontinent","status","expenditure","youth_unempl_rate","net_migr_rate","low_yu","high_nmr"
"73","Gabon","GAB","Africa","Sub-Saharan Africa","UM",2.7,35.7,3.9,"no","yes"
"74","Gambia, The","GMB","Africa","Sub-Saharan Africa","L",2.4,13.1,-1.6,"no","no"
"75","Gaza Strip","PSE","Asia","Western Asia","LM",5.3,42.2,-4.7,"no","no"
"76","Georgia","GEO","Asia","Western Asia","UM",3.5,29.9,0.1,"no","no"
"77","Germany","DEU","Europe","Western Europe","H",4.9,6.2,1.5,"yes","no"
"78","Ghana","GHA","Africa","Sub-Saharan Africa","LM",4,9.1,-1.6,"no","no"
"79","Gibraltar","GIB","Europe","Southern Europe","H",.,.,-3.3,.,"no"
"80","Greece","GRC","Europe","Southern Europe","H",.,39.9,0.9,"no","no"
"81","Greenland","GRL","Americas","Northern America","H",.,.,-6,.,"no"
"82","Grenada","GRD","Americas","Latin America and the Caribbean","UM",3.2,.,-2.6,.,"no"
"83","Guam","GUM","Oceania","Micronesia","H",.,29.4,-11,"no","no"
"84","Guatemala","GTM","Americas","Latin America and the Caribbean","UM",3.2,5,-1.7,"yes","no"
"85","Guernsey","GGY","Europe","Northern Europe",.,.,.,1.9,.,"no"
"86","Guinea","GIN","Africa","Sub-Saharan Africa","L",2.3,1,0,"yes","yes"
"87","Guinea-Bissau","GNB","Africa","Sub-Saharan Africa","L",2.1,.,-3.8,.,"no"
"88","Guyana","GUY","Americas","Latin America and the Caribbean","UM",5.5,21.5,0,"no","no"
"89","Haiti","HTI","Americas","Latin America and the Caribbean","LM",2.8,.,-1.9,.,"no"
"90","Honduras","HND","Americas","Latin America and the Caribbean","LM",6.1,10.7,-1.4,"no","no"
"91","Hong Kong","HKG","Asia","Eastern Asia","H",3.8,8.7,1.7,"no","yes"
"92","Hungary","HUN","Europe","Eastern Europe","H",4.7,10.2,1.3,"no","no"
"93","Iceland","ISL","Europe","Northern Europe","H",7.7,6.1,3.3,"yes","no"
"94","India","IND","Asia","Southern Asia","LM",3.8,22.5,0,"no","no"
